wos_accession_number,doi,publication_year
WOS:A1995QL83100009,10.2175/106143095X131349,1995
WOS:A1995RW01400014,10.2166/wst.1995.0409,1995
WOS:A1995RW01400017,10.1016/0273-1223(95)00463-W,1995
WOS:A1995RC29600008,10.1037/0735-7044.109.3.446,1995
WOS:A1995RW01400030,10.1016/0273-1223(95)00476-4,1995
WOS:A1995RW01400003,10.1016/0273-1223(95)00449-W,1995
WOS:A1995RW01400004,10.2166/wst.1995.0390,1995
WOS:A1995RW01400037,10.1016/0273-1223(95)00483-4,1995
WOS:A1995RW01400036,10.1016/0273-1223(95)00482-3,1995
WOS:A1995RW01400002,10.1016/0273-1223(95)00448-V,1995
WOS:A1995RW01400010,10.1016/0273-1223(95)00456-W,1995
WOS:A1995RW01400031,10.1016/0273-1223(95)00477-5,1995
WOS:A1995RW01400033,10.1016/0273-1223(95)00479-7,1995
WOS:A1995RJ48200005,10.1080/01919519508547537,1995
WOS:A1995RW01400015,10.2166/wst.1995.0410,1995
WOS:A1995QU85500010,,1995
WOS:A1995QM54500014,10.1016/0165-3806(94)00202-B,1995
WOS:A1995RW01400006,10.1016/0273-1223(95)00452-S,1995
WOS:A1995RW01400016,10.1016/0273-1223(95)00462-V,1995
WOS:A1995RW01400034,10.1016/0273-1223(95)00480-B,1995
WOS:A1995RW01400009,10.2166/wst.1995.0400,1995
WOS:A1995QW06100012,10.1016/0043-1354(94)00300-V,1995
WOS:A1995RW01400035,10.1016/0273-1223(95)00481-2,1995
WOS:A1995RW01400020,10.1016/0273-1223(95)00466-Z,1995
WOS:A1995TC03800010,,1995
WOS:A1995QM59700006,,1995
WOS:A1995RW01400029,10.1016/0273-1223(95)00475-3,1995
WOS:A1996VU32200010,10.1016/S0165-9936(96)00061-1,1996
WOS:A1996UC90300002,,1996
WOS:A1996WF65000004,,1996
WOS:A1996TM41600012,10.1016/0043-1354(95)00173-5,1996
WOS:A1996UG30300008,,1996
WOS:A1996UP85300014,10.1016/0043-1354(96)00027-9,1996
WOS:A1996UF94100036,10.7589/0090-3558-32.2.395,1996
WOS:A1996UX10100021,10.1006/anbe.1996.0145,1996
WOS:A1996UV22800009,10.1002/(SICI)1098-2302(199607)29:5<417::AID-DEV2>3.0.CO;2-R,1996
WOS:A1996UK01000011,10.1080/13102818.1996.10818883,1996
WOS:A1996TW92000007,10.1136/jech.50.1.18,1996
WOS:A1997XK23500006,10.2166/wst.1997.0294,1997
WOS:A1997VY30800010,10.1016/S0031-9384(96)00322-8,1997
WOS:A1997XH10100011,10.1006/anbe.1996.0384,1997
WOS:A1997XR39300024,10.1016/S0031-9384(97)00172-8,1997
WOS:A1997XY85600008,10.1016/S0160-4120(97)00070-6,1997
WOS:A1997XN75800058,10.1021/es960987y,1997
