wos_accession_number,doi
WOS:001609127400001,10.1016/j.watres.2025.124848
WOS:000312694300066,10.1371/journal.pone.0051976
WOS:000435197300183,10.3390/ijerph15051015
WOS:001264227200001,10.1016/j.seppur.2024.128050
WOS:001698893000001,10.1093/jambio/lxag026
WOS:000437352400030,10.2166/ws.2017.213
WOS:001453308000001,10.3390/w17060799
WOS:000503381200224,10.1016/j.cej.2019.122659
WOS:000492992100020,10.1039/c9ew00538b
WOS:000349530300008,10.1080/19443994.2014.931532
WOS:000537396600001,10.1016/j.cej.2020.125015
WOS:000534377000052,10.1016/j.chemosphere.2020.126509
WOS:000698576900002,10.1007/s11356-021-16593-5
WOS:000981135700001,10.3390/microorganisms11040872
WOS:000372659500015,10.1039/c5ew00269a
WOS:000372290300016,10.1515/reveh-2016-0008
WOS:000383771300006,10.2166/aqua.2016.001
WOS:000659971200037,10.1016/j.chemosphere.2021.130513
WOS:000248678100023,10.1016/j.chemosphere.2006.08.016
WOS:001259807100001,10.1016/j.ecohyd.2024.03.004
WOS:000441527900032,10.1016/j.cej.2018.07.123
WOS:001570790800001,10.3389/fenvs.2025.1660425
WOS:000635207100043,10.1016/j.scitotenv.2021.145110
WOS:001312079000001,10.1016/j.cej.2024.155480
WOS:000468619200001,10.1016/j.scitotenv.2019.04.329
WOS:001430841800001,10.1016/j.cej.2025.160677
WOS:000406310400030,10.1007/s11270-017-3474-6
WOS:001144437200001,10.1016/j.scitotenv.2023.169249
WOS:000426721400109,10.3390/ijerph15020284
WOS:000336637300020,10.1016/j.jglr.2014.03.016
WOS:000444918000013,10.1016/j.aca.2018.07.051
WOS:000424725900002,10.1016/j.watres.2017.12.013
WOS:001130276500005,10.1007/s11356-023-31329-3
WOS:000349530300008,10.1080/19443994.2014.931532
WOS:001285314600001,10.1007/s00203-024-04099-w
WOS:000382539600050,10.1039/c6ra16733k
WOS:000310923200006,10.4314/wsa.v38i5.6
WOS:000808785800001,10.3390/ani12111334
WOS:001307619100002,10.1007/s00343-024-4034-8
WOS:000595086100008,10.1016/j.jhazmat.2020.123693
WOS:000906906400007,10.1016/j.scitotenv.2022.159465
WOS:001077259800001,10.3390/microorganisms11092133
WOS:000981135700001,10.3390/microorganisms11040872
WOS:000529342300123,10.3390/ijerph17061933
WOS:000347981800009,10.1111/gwat.12272
WOS:000437352400030,10.2166/ws.2017.213
WOS:001453308000001,10.3390/w17060799
WOS:001609127400001,10.1016/j.watres.2025.124848
WOS:001703874300001,10.1111/joss.70120
WOS:000186296200011,10.1080/02652030310001606014
WOS:001264227200001,10.1016/j.seppur.2024.128050
WOS:000435197300183,10.3390/ijerph15051015
WOS:000237828900006,10.1016/j.ijheh.2005.12.001
WOS:000534377000052,10.1016/j.chemosphere.2020.126509
WOS:001352123300001,10.3390/w16213128
WOS:000312694300066,10.1371/journal.pone.0051976
WOS:000305802200003,10.2166/aqua.2012.096
WOS:000788867700026,10.5004/dwt.2022.28269
WOS:000416186400003,10.1016/j.hal.2017.09.006
WOS:000332808600025,10.1016/j.watres.2013.11.001
WOS:000264565100003,10.1152/ajpregu.90870.2008
WOS:000582219300082,10.1016/j.ecoenv.2020.111343
WOS:000372659500015,10.1039/c5ew00269a
WOS:000571004500017,10.1016/j.watres.2020.116065
WOS:000267580500016,10.1016/j.watres.2009.04.014
WOS:000685929800003,10.1016/j.jclepro.2021.127967
WOS:000082623500015,10.1016/S0043-1354(99)00027-5
WOS:000245575900016,
WOS:A1995QM59700006,
WOS:A1995QM54500014,10.1016/0165-3806(94)00202-B
WOS:000896882000009,10.1016/j.foodcont.2022.109530
WOS:A1995TC03800010,
WOS:000894441100001,10.1007/s11355-022-00533-7
WOS:000301331600003,10.1080/01919512.2012.640223
WOS:000231335500016,10.1016/j.watres.2005.04.039
WOS:000186003400006,10.1061/(ASCE)0733-9496(2003)129:6(493)
WOS:000233067200032,10.1016/j.pce.2005.08.031
WOS:000593242900006,10.1093/chemse/bjaa056
WOS:000880117000001,10.1016/j.jhazmat.2022.129838
WOS:000374408100004,10.2166/wh.2015.012
WOS:001647466700001,10.3390/life15121933
WOS:000171840700006,10.1016/S0043-1354(01)00248-2
WOS:001316351100001,10.1007/s13280-024-02076-7
WOS:001483943400001,10.1016/j.jece.2025.116834
WOS:000667180400009,10.37190/epe210209
WOS:000666349300001,10.3390/w13121622
WOS:000439024100010,10.24193/subbchem.2018.1.10
WOS:000298411500002,10.2166/aqua.2011.036
WOS:000248678100023,10.1016/j.chemosphere.2006.08.016
WOS:000529312000021,10.1016/j.spc.2019.08.008
WOS:000336872400024,10.1016/j.foodchem.2014.04.013
WOS:001542461200005,10.1016/j.jenvman.2025.126616
WOS:000278102800005,10.2166/aqua.2010.059
WOS:000318051900024,10.1016/j.watres.2013.02.046
WOS:000430481200007,10.2166/wh.2018.272
WOS:000323836100008,10.1007/s10661-013-3153-z
WOS:000269049300016,10.1016/j.watres.2009.06.009
WOS:001242265300001,10.1021/acsomega.3c10175
WOS:000340580700007,10.1086/677176
WOS:000185701400021,10.1111/1539-6924.00384
WOS:000390515800002,10.1016/j.cattod.2016.09.024
WOS:000169841800007,10.1111/j.1530-0277.2001.tb02307.x
WOS:000296022600002,10.1080/01919512.2011.604595
WOS:000265515700027,10.1016/j.seppur.2009.01.013
WOS:000341745100006,10.1016/j.envint.2014.05.025
WOS:000346128700023,10.2166/wh.2014.109
WOS:000223649900003,10.1139/s03-078
WOS:001329622200001,10.1016/j.watres.2024.122540
WOS:000391267300011,10.4314/wsa.v42i4.11
WOS:000222627900002,10.1080/09603120410001725595
WOS:001698893000001,10.1093/jambio/lxag026
WOS:000178797300001,10.1081/PPT-120014389
WOS:000373609300021,10.1007/s11356-015-5766-y
WOS:000172521600009,10.1002/tox.10009
WOS:000394351400001,10.1007/s11270-016-3229-9
WOS:001657494600001,10.1177/15579018251410727
WOS:000701653900003,10.1016/j.jup.2021.101295
WOS:001404703500001,10.3390/w17020139
WOS:000659971200037,10.1016/j.chemosphere.2021.130513
WOS:000087974200034,10.1021/es9914590
WOS:000334134700049,10.1016/j.cej.2014.01.081
WOS:000259041300038,10.1007/s10661-007-0049-9
WOS:000699667800001,10.3390/ijerph18189652
WOS:000288781900005,10.3390/ijerph8030713
WOS:000492992100020,10.1039/c9ew00538b
WOS:000537396600001,10.1016/j.cej.2020.125015
WOS:000330452600001,10.1155/2014/697260
WOS:001682964400002,10.4491/eer.2025.081
WOS:000456527000024,10.3390/ijerph15122633
WOS:001307235200001,10.3390/cells13161386
WOS:000314809700004,10.2166/aqua.2013.016
WOS:000793656600001,10.1016/j.aquaculture.2022.738215
WOS:000076453400040,10.1039/a803621g
WOS:001637279100001,10.1088/1748-9326/ae2696
WOS:000330161000038,10.1016/j.ecoenv.2013.10.022
WOS:001219644300001,10.1016/j.jwpe.2024.105125
WOS:001114421500001,10.1021/acs.est.3c06586
